"","cell","Longitude(x)","Latitude(y)","Elaenia_cristata","Psittacanthus_robustus","Qualea_dichotoma","Qualea_grandiflora","Qualea_multiflora","Qualea_parviflora","Salvertia_convallariodora","Tersina_viridis","Thraupis_sayaca","Vochysia_cinnamomea","Vochysia_elliptica","Vochysia_rufa","Vochysia_thyrsoidea","Vochysia_tucanorum","bio1","bio12","bio14","bio15","bio18","bio19","bio2","bio4"
"690","690",-47.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.5151386260986,1660.361328125,11.0843381881714,72.1082611083984,205.525131225586,757.994201660156,11.6865072250366,62.761646270752
"691","691",-46.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.9208526611328,1331.90966796875,7.96609020233154,74.8756103515625,165.326126098633,466.170654296875,12.1126270294189,67.8867340087891
"692","692",-45.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.2494697570801,1176.12475585938,6.08511161804199,78.6199645996094,170.815185546875,149.288955688477,12.0911645889282,85.5578765869141
"693","693",-44.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.7102508544922,1116.07141113281,4.27297115325928,79.4194030761719,205.209091186523,54.9263648986816,11.6358995437622,105.30997467041
"694","694",-43.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.2996997833252,1060.91247558594,1.98126828670502,83.5060882568359,197.829330444336,45.8705062866211,11.2497854232788,117.054824829102
"695","695",-42.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.4771156311035,966.504699707031,0.952138006687164,89.3120269775391,148.371963500977,39.3226928710938,11.6272716522217,110.747398376465
"696","696",-41.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,26.0496883392334,793.720092773438,0.916997790336609,97.7406692504883,153.210556030273,29.4604301452637,11.7968044281006,100.847145080566
"697","697",-40.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.7530727386475,687.067260742188,2.03926372528076,101.554176330566,114.457496643066,42.7428359985352,10.9645824432373,106.243347167969
"698","698",-39.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23.8717517852783,918.039672851562,6.43427085876465,95.9717712402344,149.152893066406,88.7986297607422,10.4166650772095,117.091468811035
"699","699",-38.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.1055889129639,931.688537597656,4.80412578582764,102.87720489502,161.790557861328,86.3302307128906,10.2904949188232,122.9013671875
"700","700",-37.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.7733898162842,825.448852539062,4.9312539100647,106.773559570312,156.26904296875,66.8205032348633,9.54123592376709,129.225006103516
"701","701",-36.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23.4309425354004,540.26220703125,2.78300476074219,103.603546142578,133.242141723633,75.9566040039062,9.18493938446045,128.255111694336
"702","702",-35.64,-7.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,23.6349182128906,853.104797363281,14.6206665039062,66.3175735473633,214.618423461914,292.678863525391,9.33289337158203,131.356079101562
"703","703",-73.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.5207786560059,1947.15161132812,50.6547470092773,43.4977722167969,594.94482421875,200.637283325195,10.3280544281006,51.4749488830566
"704","704",-72.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25.1314888000488,2065.45922851562,42.8524932861328,49.3415946960449,644.481750488281,177.955963134766,9.97769737243652,56.0293045043945
"705","705",-71.64,-8.166,0,0,0,1,0,1,0,0,0,0,0,0,0,0,24.8088531494141,2010.43103027344,48.3809814453125,48.7726097106934,632.893188476562,181.779571533203,10.0489187240601,57.2416343688965
