spp,lon,lat
Vochysia_elliptica,-42.146111,-13.266389
Vochysia_thyrsoidea,-42.638055,-13.826389
Vochysia_thyrsoidea,-46.409722,-20.260556
Vochysia_thyrsoidea,-42.448055,-15.441388
Vochysia_thyrsoidea,-43.5475,-19.267778
Vochysia_thyrsoidea,-48.8,-15.8
Vochysia_thyrsoidea,-48.768278,-15.813639
Vochysia_thyrsoidea,-47.50972,-14.1325
Vochysia_thyrsoidea,-44.307778,-18.553889
Vochysia_thyrsoidea,-45.783333,-13.6575
Vochysia_thyrsoidea,-43.554444,-19.261111
Vochysia_thyrsoidea,-44.457458,-21.217894
Vochysia_thyrsoidea,-41.343889,-13.016667
Vochysia_thyrsoidea,-44.808333,-16.595278
Vochysia_thyrsoidea,-43.60333,-19.28667
Vochysia_thyrsoidea,-41.083333,-12.016667
Vochysia_thyrsoidea,-44.503994,-21.220764
Vochysia_thyrsoidea,-44.187778,-18.333333
Vochysia_thyrsoidea,-47.6136,-16.7686
Vochysia_thyrsoidea,-41.416667,-12.433333
Vochysia_thyrsoidea,-44.500569,-21.270161
Vochysia_thyrsoidea,-47.61333,-16.76861
Vochysia_thyrsoidea,-52.8731,-10.8339
Vochysia_thyrsoidea,-41.883,-13.283
Vochysia_thyrsoidea,-41.391389,-13.000278
Vochysia_thyrsoidea,-46,-20
Vochysia_thyrsoidea,-41.420556,-12.447222
Vochysia_thyrsoidea,-43.88944,-19.62722
Vochysia_thyrsoidea,-43.894819,-19.943853
Vochysia_thyrsoidea,-43.6,-19.533333
Vochysia_thyrsoidea,-42.736389,-15.648611
Vochysia_thyrsoidea,-41.514722,-12.467222
Vochysia_thyrsoidea,-40.481944,-11.206667
Vochysia_thyrsoidea,-47.790667,-14.167639
Vochysia_thyrsoidea,-44.18,-17.87333
Vochysia_thyrsoidea,-43.600611,-19.288667
Vochysia_thyrsoidea,-44.475914,-21.234431
Vochysia_thyrsoidea,-41.477778,-12.424444
Vochysia_thyrsoidea,-42.483333,-14.116667
Vochysia_thyrsoidea,-41.824444,-13.245278
Vochysia_thyrsoidea,-41.15,-11.55
Vochysia_thyrsoidea,-47.618889,-16.720556
Vochysia_thyrsoidea,-41,-11.833333
Vochysia_thyrsoidea,-40.243056,-10.513889
Vochysia_thyrsoidea,-41.879583,-13.540778
Vochysia_thyrsoidea,-47.516667,-14.116667
Vochysia_thyrsoidea,-42.4833333,-14.1166667
Vochysia_thyrsoidea,-41.316667,-12.983333
Vochysia_thyrsoidea,-46,-15.364722
Vochysia_thyrsoidea,-38.316667,-12.683333
Vochysia_thyrsoidea,-41.883333,-13.383333
Vochysia_thyrsoidea,-41.478056,-12.424167
Vochysia_thyrsoidea,-41.417222,-13.019722
Vochysia_thyrsoidea,-46.523194,-20.297861
Vochysia_thyrsoidea,-41.366667,-13
Vochysia_thyrsoidea,-52.253333,-16.6375
Vochysia_thyrsoidea,-41.208056,-11.591389
Vochysia_thyrsoidea,-45.75,-13.233333
Vochysia_thyrsoidea,-40.208305,-10.368555
Vochysia_thyrsoidea,-41.791222,-13.087278
Vochysia_thyrsoidea,-43.966667,-20.3
Vochysia_thyrsoidea,-44.043733,-18.948519
Vochysia_thyrsoidea,-41.386944,-13.118889
Vochysia_thyrsoidea,-41.207778,-11.591667
